Year,Table,County,Birth Weight in Grams,Number of Live Births
2012,11a,Albany,3500+,1213
2012,11a,Albany,3000-3499,1160
2012,11a,Albany,2500-2999,501
2012,11a,Albany,2000-2499,138
2012,11a,Albany,1500-1999,57
2012,11a,Albany,1000-1499,27
2012,11a,Albany,Under 1000,36
2012,11a,Albany,Total,3133
2012,11a,Rest of State,Not Stated,238
2012,11a,Rest of State,3500+,45399
2012,11a,Rest of State,3000-3499,45514
2012,11a,Rest of State,2500-2999,20193
2012,11a,Rest of State,2000-2499,5534
2012,11a,Rest of State,1500-1999,1793
2012,11a,Rest of State,1000-1499,894
2012,11a,Rest of State,Under 1000,848
2012,11a,Rest of State,Total,120413
2012,11a,Richmond,Not Stated,2
2012,11a,Richmond,3500+,1819
2012,11a,Richmond,3000-3499,2086
2012,11a,Richmond,2500-2999,985
2012,11a,Richmond,2000-2499,248
2012,11a,Richmond,1500-1999,80
2012,11a,Richmond,1000-1499,31
2012,11a,Richmond,Under 1000,36
2012,11a,Richmond,Total,5287
2012,11a,Queens,Not Stated,1
2012,11a,Queens,3500+,9363
2012,11a,Queens,3000-3499,12294
2012,11a,Queens,2500-2999,6369
2012,11a,Queens,2000-2499,1570
2012,11a,Queens,1500-1999,505
2012,11a,Queens,1000-1499,186
2012,11a,Queens,Under 1000,197
2012,11a,Queens,Total,30485
2012,11a,New York,Not Stated,0
2012,11a,New York,3500+,5962
2012,11a,New York,3000-3499,7784
2012,11a,New York,2500-2999,3839
2012,11a,New York,2000-2499,1052
2012,11a,New York,1500-1999,311
2012,11a,New York,1000-1499,174
2012,11a,New York,Under 1000,88
2012,11a,New York,Total,19210
2012,11a,Kings,Not Stated,0
2012,11a,Kings,3500+,13331
2012,11a,Kings,3000-3499,17282
2012,11a,Kings,2500-2999,8557
2012,11a,Kings,2000-2499,2097
2012,11a,Kings,1500-1999,656
2012,11a,Kings,1000-1499,330
2012,11a,Kings,Under 1000,293
2012,11a,Kings,Total,42546
2012,11a,Bronx,Not Stated,1
2012,11a,Bronx,3500+,6371
2012,11a,Bronx,3000-3499,8353
2012,11a,Bronx,2500-2999,4546
2012,11a,Bronx,2000-2499,1208
2012,11a,Bronx,1500-1999,377
2012,11a,Bronx,1000-1499,205
2012,11a,Bronx,Under 1000,222
2012,11a,Bronx,Total,21283
2012,11a,New York City,Not Stated,4
2012,11a,New York City,3500+,36846
2012,11a,New York City,3000-3499,47799
2012,11a,New York City,2500-2999,24296
2012,11a,New York City,2000-2499,6175
2012,11a,New York City,1500-1999,1929
2012,11a,New York City,1000-1499,926
2012,11a,New York City,Under 1000,836
2012,11a,New York City,Total,118811
2012,11a,New York State,Not Stated,242
2012,11a,New York State,3500+,82245
2012,11a,New York State,3000-3499,93313
2012,11a,New York State,2500-2999,44489
2012,11a,New York State,2000-2499,11709
2012,11a,New York State,1500-1999,3722
2012,11a,New York State,1000-1499,1820
2012,11a,New York State,Under 1000,1684
2012,11a,New York State,Total,239224
2011,11a,New York State,Under 1000,1697
2011,11a,Yates,Not Stated,0
2011,11a,Yates,3500+,152
2011,11a,Yates,3000-3499,91
2011,11a,Yates,2500-2999,39
2011,11a,Yates,2000-2499,10
2011,11a,Yates,1500-1999,7
2011,11a,Yates,1000-1499,2
2011,11a,Yates,Under 1000,1
2011,11a,Yates,Total,302
2011,11a,Wyoming,Not Stated,1
2011,11a,Wyoming,3500+,179
2011,11a,Wyoming,3000-3499,130
2011,11a,Wyoming,2500-2999,50
